CGPA,AptitudeScore,CommunicationSkills,Internship,Projects,Placement
5.3,37,3,1,2,0
6.8,40,4,1,1,0
5.9,51,3,0,1,0
9.3,64,8,0,2,1
7.8,92,7,1,5,1
6.8,59,3,1,1,0
6.6,47,4,0,3,0
8.4,83,10,0,4,1
5.8,28,7,1,1,0
5.9,44,7,1,0,0
6.4,63,6,1,2,0
5.3,31,4,1,3,0
8.3,87,8,1,4,1
7.4,87,7,1,5,1
5.5,49,3,0,2,0
7.1,62,10,0,4,1
5.2,42,6,0,3,0
8.7,88,10,0,3,1
6.8,43,7,1,1,0
5.3,36,7,1,3,0
6.9,64,6,0,1,0
5.2,57,3,1,1,0
7.2,73,8,1,4,1
6.7,49,3,0,3,0
7.3,88,8,0,4,1
8.2,82,7,0,2,1
5.4,51,7,0,2,0
6.6,26,4,1,3,0
8.0,66,6,0,2,1
6.9,71,10,1,5,1
6.5,52,3,0,2,0
9.2,67,9,0,3,1
9.3,78,6,1,2,1
6.6,65,7,1,3,0
8.9,61,7,0,4,1
6.0,37,7,1,3,0
6.1,51,4,0,1,0
8.1,57,9,1,5,1
5.8,44,4,1,0,0
6.5,60,5,1,0,0
8.5,87,6,1,5,1
6.3,34,6,0,3,0
6.0,64,6,0,2,0
6.6,65,3,1,0,0
7.7,71,8,1,4,1
7.7,61,7,1,5,1
6.8,68,10,1,4,1
7.4,75,8,0,4,1
5.9,62,4,1,0,0
6.5,42,7,1,0,0
8.8,91,7,0,4,1
6.3,58,5,1,2,0
5.3,61,4,0,3,0
7.1,85,9,1,2,1
9.1,89,10,1,4,1
6.3,42,6,0,0,0
6.1,58,6,0,1,0
7.8,63,6,0,5,1
6.0,34,6,0,1,0
6.0,55,7,1,1,0
7.9,76,10,1,4,1
7.1,92,9,1,5,1
7.0,49,4,0,2,0
6.9,71,9,0,3,1
7.3,69,9,1,5,1
8.7,59,7,0,5,1
5.4,25,5,0,2,0
7.0,55,7,0,5,1
7.7,66,8,1,5,1
9.4,59,6,0,3,1
5.0,36,6,0,3,0
5.9,53,6,0,0,0
7.8,91,9,0,5,1
6.5,64,5,1,0,0
7.0,37,4,1,3,0
6.1,40,6,0,1,0
5.1,51,6,0,0,0
6.4,53,7,1,0,0
5.8,61,5,0,0,0
7.0,63,6,0,4,1
5.2,27,5,0,2,0
9.0,87,6,1,4,1
6.8,51,6,0,0,0
8.9,59,6,1,3,1
7.0,30,6,1,3,0
6.0,41,6,1,0,0
5.8,36,4,0,1,0
5.3,46,6,0,2,0
7.9,67,6,0,4,1
6.0,39,4,0,1,0
8.1,94,10,0,2,1
7.0,64,7,0,3,1
7.6,94,10,1,4,1
5.3,33,7,1,0,0
6.8,57,3,0,2,0
7.2,82,7,1,5,1
5.3,65,7,1,2,0
6.9,61,6,1,2,1
7.1,67,9,1,3,1
5.2,43,5,1,2,0
6.3,27,4,0,1,0
7.1,62,7,0,5,1
5.9,53,5,1,3,0
5.6,48,3,0,2,0
6.3,31,5,1,0,0
8.5,85,9,1,3,1
6.6,40,6,1,0,0
5.9,39,3,0,3,0
5.1,28,3,1,1,0
6.5,63,5,1,1,0
6.5,57,4,0,2,0
5.6,42,3,0,3,0
6.9,58,3,1,1,0
5.2,27,5,1,0,0
6.5,41,6,1,1,0
6.2,28,4,1,3,0
9.3,75,6,1,5,1
6.8,34,4,1,0,0
8.3,66,8,1,5,1
5.3,36,5,0,2,0
6.7,39,6,1,3,0
6.1,44,4,0,3,0
6.8,59,3,0,0,0
8.3,95,7,1,4,1
9.3,67,7,1,5,1
8.6,74,7,0,4,1
6.7,64,5,0,0,0
8.0,82,8,0,5,1
6.2,63,7,1,0,0
5.6,28,3,0,3,0
6.5,39,4,0,1,0
9.4,89,8,0,3,1
7.9,81,10,0,5,1
7.9,72,6,0,3,1
6.3,36,7,0,2,0
5.6,49,3,0,0,0
5.1,49,4,1,1,0
9.1,80,7,1,3,1
6.3,35,3,1,1,0
8.5,70,8,0,4,1
9.0,70,6,0,2,1
9.5,70,8,1,2,1
5.9,51,7,1,3,0
6.9,92,10,0,5,1
5.3,63,4,1,0,0
5.4,25,4,1,2,0
6.9,32,7,1,3,0
5.4,47,5,1,1,0
6.6,39,4,1,0,0
5.5,36,3,1,2,0
8.9,70,7,0,4,1
6.9,46,7,1,0,0
9.5,61,6,1,2,1
6.6,30,4,0,1,0
5.9,32,6,1,3,0
7.3,75,9,1,5,1
6.8,62,7,0,0,0
8.9,77,7,1,4,1
8.0,68,10,1,4,1
6.9,50,6,0,3,0
5.3,60,4,0,0,0
7.1,94,10,1,4,1
6.4,25,4,0,3,0
7.9,83,8,0,4,1
6.7,39,6,1,2,0
6.7,56,3,0,2,0
6.3,63,4,0,2,0
7.0,31,3,1,3,0
5.3,57,4,0,1,0
6.6,56,5,1,0,0
6.0,38,6,0,3,0
5.0,27,6,1,1,0
5.8,25,3,0,2,0
7.4,61,6,0,3,1
6.9,28,5,0,2,0
5.2,50,3,1,3,0
6.4,51,7,1,1,0
5.3,41,3,1,3,0
8.1,92,8,1,4,1
6.9,64,3,1,2,0
6.3,43,6,0,2,0
5.6,43,5,1,3,0
5.6,46,4,1,3,0
6.5,40,4,1,2,0
6.4,65,7,0,1,0
6.2,41,6,0,0,0
5.4,55,5,1,0,0
6.9,48,5,1,0,0
7.7,68,9,1,2,1
9.4,83,6,1,2,1
6.0,27,3,1,1,0
6.6,32,7,0,2,0
6.6,45,5,1,1,0
6.7,33,5,1,1,0
5.3,29,4,0,3,0
5.3,37,3,0,2,0
6.0,41,6,0,1,0
7.0,95,10,1,2,1
8.4,70,9,0,4,1
5.5,47,4,0,1,0
6.1,43,7,0,2,0
6.3,38,4,1,3,0
8.2,55,6,1,4,1
7.6,56,8,1,5,1
6.3,37,6,1,3,0
6.9,36,5,1,1,0
5.3,43,7,1,0,0
5.7,39,4,0,1,0
9.3,67,8,0,3,1
6.4,62,5,1,2,0
5.8,61,5,1,3,0
7.6,78,9,1,4,1
6.8,40,7,0,0,0
6.3,34,5,0,2,0
8.4,85,8,0,3,1
6.1,44,7,0,2,0
8.6,82,10,0,3,1
5.1,56,4,0,2,0
9.0,61,7,0,4,1
6.6,47,5,1,0,0
7.2,55,6,0,3,1
6.5,29,6,1,1,0
6.2,25,7,0,1,0
5.9,53,5,1,1,0
9.4,64,10,0,4,1
7.0,94,10,0,2,1
7.6,81,6,1,5,1
8.7,90,6,1,5,1
7.9,94,9,0,2,1
7.0,70,9,1,5,1
6.9,59,4,0,0,0
6.9,50,4,0,2,0
6.2,44,3,1,0,0
7.0,65,10,1,3,1
7.9,55,8,1,4,1
6.3,65,6,1,0,0
6.5,39,5,1,1,0
7.0,33,3,1,3,0
8.4,58,7,1,3,1
7.0,72,7,1,2,1
6.1,40,7,1,0,0
6.7,26,5,1,3,0
6.1,54,3,1,3,0
6.1,36,6,0,1,0
6.9,58,7,0,0,0
5.3,49,6,0,0,0
7.4,86,9,0,2,1
6.5,48,7,1,3,0
7.0,29,5,0,1,0
7.9,58,10,1,5,1
5.6,65,6,1,2,0
5.7,29,5,0,3,0
6.9,46,5,1,1,0
7.9,78,8,0,4,1
7.6,69,8,1,2,1
6.7,36,6,1,3,0
6.4,47,5,1,3,0
7.6,85,10,0,3,1
8.1,62,7,0,5,1
8.8,62,8,0,2,1
6.1,40,5,1,3,0
5.2,25,3,0,3,0
5.2,62,3,0,3,0
6.3,57,3,1,2,0
8.1,79,10,0,3,1
6.5,32,5,0,0,0
5.2,28,3,1,2,0
5.1,47,6,0,3,0
6.6,49,5,1,3,0
8.9,56,6,1,5,1
7.0,25,4,0,2,0
9.4,60,10,0,4,1
7.0,88,8,1,4,1
9.1,67,6,0,2,1
8.6,62,10,1,2,1
6.8,36,6,0,3,0
8.0,59,10,1,3,1
6.1,42,7,0,2,0
6.2,52,4,1,3,0
8.4,68,9,0,4,1
6.5,64,6,1,1,0
7.3,82,10,0,3,1
8.3,58,9,1,5,1
8.1,71,7,1,2,1
5.8,45,7,0,0,0
6.0,39,5,0,0,0
5.1,62,6,0,1,0
5.4,41,4,1,3,0
6.0,47,3,1,1,0
5.3,63,4,1,3,0
5.1,55,6,0,3,0
6.9,46,4,1,1,0
5.4,46,6,0,3,0
6.0,38,7,0,2,0
5.2,62,3,0,0,0
5.3,52,6,1,3,0
5.8,46,7,1,3,0
5.1,52,5,1,2,0
5.8,50,5,1,0,0
6.8,37,5,1,1,0
5.7,38,5,1,3,0
6.0,41,4,0,2,0
6.8,44,7,1,1,0
5.1,31,7,0,2,0
7.0,58,7,0,3,1
8.0,68,6,0,2,1
6.7,26,7,0,2,0
6.3,39,7,1,1,0
6.3,38,4,1,2,0
6.7,63,6,0,2,0
5.8,47,6,1,0,0
8.2,63,8,1,5,1
9.0,88,10,1,4,1
6.7,40,5,1,3,0
7.7,71,9,1,2,1
6.0,39,4,1,3,0
5.7,45,4,1,0,0
7.1,75,9,0,3,1
6.3,49,5,0,1,0
9.4,88,7,1,4,1
6.5,60,5,1,1,0
8.2,66,10,0,4,1
5.3,59,6,0,3,0
5.4,51,3,1,1,0
6.5,53,3,0,2,0
7.0,94,8,1,4,1
6.4,34,4,0,3,0
6.0,31,7,1,3,0
7.1,62,7,0,3,1
6.8,46,5,0,3,0
5.2,45,6,0,3,0
5.7,51,5,1,2,0
7.7,77,10,1,3,1
5.5,40,6,1,0,0
7.8,91,10,0,2,1
6.7,60,4,0,1,0
5.5,37,6,0,3,0
8.6,85,7,1,3,1
5.0,61,4,1,0,0
6.0,39,5,1,0,0
8.5,81,6,0,4,1
6.5,46,5,1,3,0
5.3,52,4,1,2,0
6.3,31,7,1,2,0
6.7,40,4,1,2,0
7.2,75,8,1,4,1
6.2,53,7,0,1,0
8.2,82,10,0,3,1
6.4,36,7,1,2,0
8.3,63,6,1,5,1
6.9,29,3,0,2,0
6.2,41,5,1,3,0
6.9,26,3,1,2,0
5.3,57,6,0,1,0
9.4,77,10,0,5,1
7.6,55,6,0,5,1
6.8,64,6,0,4,1
6.6,28,4,0,1,0
6.8,51,5,0,0,0
5.7,46,4,0,1,0
8.1,84,10,0,2,1
5.4,34,7,0,0,0
7.0,49,5,0,0,0
7.9,95,10,1,4,1
6.0,49,3,1,1,0
5.1,38,5,1,2,0
7.0,31,7,0,0,0
6.3,64,6,0,2,0
7.0,25,3,0,3,0
6.3,33,3,1,0,0
5.2,39,7,0,2,0
6.8,50,3,0,1,0
5.4,26,6,0,3,0
8.5,94,7,0,3,1
8.1,57,7,1,4,1
8.1,69,8,1,4,1
5.2,30,4,0,3,0
7.9,82,9,0,4,1
6.6,42,3,0,0,0
7.3,76,9,0,4,1
6.0,35,4,1,1,0
6.9,43,3,0,3,0
6.6,35,4,0,2,0
5.7,35,3,0,3,0
8.3,87,10,1,4,1
5.6,60,6,1,1,0
9.1,74,9,1,3,1
5.9,41,5,1,2,0
7.0,79,7,1,2,1
7.9,80,9,1,2,1
5.9,60,5,0,0,0
7.0,28,4,1,0,0
6.5,28,5,1,1,0
7.8,88,8,1,5,1
